,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
113,"frozenset({'1.7i', '200m'})",frozenset({'190o'}),0.030303030303030304,0.09090909090909091,0.030303030303030304,1.0,11.0,0.027548209366391185,inf
114,"frozenset({'1.7i', '190o'})",frozenset({'200m'}),0.030303030303030304,0.15151515151515152,0.030303030303030304,1.0,6.6,0.02571166207529844,inf
115,"frozenset({'210m', '1.7i'})",frozenset({'210o'}),0.030303030303030304,0.15151515151515152,0.030303030303030304,1.0,6.6,0.02571166207529844,inf
116,"frozenset({'1.7i', '220m'})",frozenset({'210o'}),0.030303030303030304,0.15151515151515152,0.030303030303030304,1.0,6.6,0.02571166207529844,inf
117,"frozenset({'1.8i', '130o'})",frozenset({'180m'}),0.030303030303030304,0.12121212121212122,0.030303030303030304,1.0,8.25,0.02662993572084481,inf
118,"frozenset({'1.8i', '180m'})",frozenset({'130o'}),0.030303030303030304,0.030303030303030304,0.030303030303030304,1.0,33.0,0.02938475665748393,inf
119,"frozenset({'130o', '180m'})",frozenset({'1.8i'}),0.030303030303030304,0.030303030303030304,0.030303030303030304,1.0,33.0,0.02938475665748393,inf
120,frozenset({'1.8i'}),"frozenset({'130o', '180m'})",0.030303030303030304,0.030303030303030304,0.030303030303030304,1.0,33.0,0.02938475665748393,inf
121,frozenset({'130o'}),"frozenset({'1.8i', '180m'})",0.030303030303030304,0.030303030303030304,0.030303030303030304,1.0,33.0,0.02938475665748393,inf
122,"frozenset({'1.9i', '140o'})",frozenset({'190m'}),0.030303030303030304,0.09090909090909091,0.030303030303030304,1.0,11.0,0.027548209366391185,inf
123,"frozenset({'1.9i', '190m'})",frozenset({'140o'}),0.030303030303030304,0.12121212121212122,0.030303030303030304,1.0,8.25,0.02662993572084481,inf
124,frozenset({'1.9i'}),"frozenset({'140o', '190m'})",0.030303030303030304,0.06060606060606061,0.030303030303030304,1.0,16.5,0.02846648301193756,inf
125,"frozenset({'140o', '2.1i'})",frozenset({'140m'}),0.030303030303030304,0.06060606060606061,0.030303030303030304,1.0,16.5,0.02846648301193756,inf
126,"frozenset({'140o', '140m'})",frozenset({'2.1i'}),0.030303030303030304,0.06060606060606061,0.030303030303030304,1.0,16.5,0.02846648301193756,inf
127,"frozenset({'2.1i', '140m'})",frozenset({'140o'}),0.030303030303030304,0.12121212121212122,0.030303030303030304,1.0,8.25,0.02662993572084481,inf
128,"frozenset({'2.2i', '140o'})",frozenset({'190m'}),0.030303030303030304,0.09090909090909091,0.030303030303030304,1.0,11.0,0.027548209366391185,inf
129,"frozenset({'2.2i', '190m'})",frozenset({'140o'}),0.030303030303030304,0.12121212121212122,0.030303030303030304,1.0,8.25,0.02662993572084481,inf
130,frozenset({'2.2i'}),"frozenset({'140o', '190m'})",0.030303030303030304,0.06060606060606061,0.030303030303030304,1.0,16.5,0.02846648301193756,inf
131,"frozenset({'2.0i', '170o'})",frozenset({'180m'}),0.030303030303030304,0.12121212121212122,0.030303030303030304,1.0,8.25,0.02662993572084481,inf
132,"frozenset({'2.0i', '180m'})",frozenset({'170o'}),0.030303030303030304,0.030303030303030304,0.030303030303030304,1.0,33.0,0.02938475665748393,inf
133,"frozenset({'170o', '180m'})",frozenset({'2.0i'}),0.030303030303030304,0.15151515151515152,0.030303030303030304,1.0,6.6,0.02571166207529844,inf
134,frozenset({'170o'}),"frozenset({'2.0i', '180m'})",0.030303030303030304,0.030303030303030304,0.030303030303030304,1.0,33.0,0.02938475665748393,inf
135,"frozenset({'2.0i', '200m'})",frozenset({'180o'}),0.030303030303030304,0.09090909090909091,0.030303030303030304,1.0,11.0,0.027548209366391185,inf
136,"frozenset({'2.0i', '180o'})",frozenset({'200m'}),0.030303030303030304,0.15151515151515152,0.030303030303030304,1.0,6.6,0.02571166207529844,inf
137,"frozenset({'210m', '2.0i'})",frozenset({'210o'}),0.030303030303030304,0.15151515151515152,0.030303030303030304,1.0,6.6,0.02571166207529844,inf
138,"frozenset({'2.0i', '220m'})",frozenset({'210o'}),0.030303030303030304,0.15151515151515152,0.030303030303030304,1.0,6.6,0.02571166207529844,inf
139,"frozenset({'260m', '2.0i'})",frozenset({'250o'}),0.030303030303030304,0.030303030303030304,0.030303030303030304,1.0,33.0,0.02938475665748393,inf
140,"frozenset({'260m', '250o'})",frozenset({'2.0i'}),0.030303030303030304,0.15151515151515152,0.030303030303030304,1.0,6.6,0.02571166207529844,inf
141,"frozenset({'2.0i', '250o'})",frozenset({'260m'}),0.030303030303030304,0.030303030303030304,0.030303030303030304,1.0,33.0,0.02938475665748393,inf
142,frozenset({'260m'}),"frozenset({'2.0i', '250o'})",0.030303030303030304,0.030303030303030304,0.030303030303030304,1.0,33.0,0.02938475665748393,inf
143,frozenset({'250o'}),"frozenset({'260m', '2.0i'})",0.030303030303030304,0.030303030303030304,0.030303030303030304,1.0,33.0,0.02938475665748393,inf
144,"frozenset({'60o', '2.1i'})",frozenset({'230m'}),0.030303030303030304,0.12121212121212122,0.030303030303030304,1.0,8.25,0.02662993572084481,inf
145,"frozenset({'60o', '230m'})",frozenset({'2.1i'}),0.030303030303030304,0.06060606060606061,0.030303030303030304,1.0,16.5,0.02846648301193756,inf
146,"frozenset({'2.1i', '230m'})",frozenset({'60o'}),0.030303030303030304,0.030303030303030304,0.030303030303030304,1.0,33.0,0.02938475665748393,inf
147,frozenset({'60o'}),"frozenset({'2.1i', '230m'})",0.030303030303030304,0.030303030303030304,0.030303030303030304,1.0,33.0,0.02938475665748393,inf
148,"frozenset({'2.3i', '310o'})",frozenset({'350m'}),0.030303030303030304,0.030303030303030304,0.030303030303030304,1.0,33.0,0.02938475665748393,inf
149,"frozenset({'2.3i', '350m'})",frozenset({'310o'}),0.030303030303030304,0.030303030303030304,0.030303030303030304,1.0,33.0,0.02938475665748393,inf
150,"frozenset({'310o', '350m'})",frozenset({'2.3i'}),0.030303030303030304,0.030303030303030304,0.030303030303030304,1.0,33.0,0.02938475665748393,inf
151,frozenset({'2.3i'}),"frozenset({'310o', '350m'})",0.030303030303030304,0.030303030303030304,0.030303030303030304,1.0,33.0,0.02938475665748393,inf
152,frozenset({'310o'}),"frozenset({'2.3i', '350m'})",0.030303030303030304,0.030303030303030304,0.030303030303030304,1.0,33.0,0.02938475665748393,inf
153,frozenset({'350m'}),"frozenset({'2.3i', '310o'})",0.030303030303030304,0.030303030303030304,0.030303030303030304,1.0,33.0,0.02938475665748393,inf
